id,owned_by,created
gpt-5-nano,system,2025-08-06 05:39:44
gpt-5-nano-2025-08-07,system,2025-08-06 05:38:23
gpt-5-mini,system,2025-08-06 05:32:08
gpt-5-mini-2025-08-07,system,2025-08-06 05:31:07
gpt-5,system,2025-08-06 05:29:37
gpt-5-2025-08-07,system,2025-08-02 04:09:20
gpt-5-chat-latest,system,2025-08-02 03:35:06
o4-mini-deep-research-2025-06-26,system,2025-06-26 00:42:01
o3-deep-research-2025-06-26,system,2025-06-26 00:26:59
o3-deep-research,system,2025-06-14 03:42:01
o4-mini-deep-research,system,2025-06-12 08:44:45
o3-pro-2025-06-10,system,2025-06-06 08:39:21
gpt-4o-audio-preview-2025-06-03,system,2025-06-03 08:54:58
gpt-4o-realtime-preview-2025-06-03,system,2025-06-03 08:43:58
o3-pro,system,2025-05-29 08:35:49
codex-mini-latest,system,2025-05-08 12:00:57
gpt-image-1,system,2025-04-25 02:50:30
gpt-4.1-nano,system,2025-04-11 06:48:27
gpt-4.1-nano-2025-04-14,system,2025-04-11 06:37:05
gpt-4.1-mini,system,2025-04-11 05:49:33
gpt-4.1-mini-2025-04-14,system,2025-04-11 05:39:07
gpt-4.1,system,2025-04-11 05:22:22
gpt-4.1-2025-04-14,system,2025-04-11 05:09:06
o4-mini,system,2025-04-10 04:02:31
o3,system,2025-04-10 04:01:48
o4-mini-2025-04-16,system,2025-04-09 02:31:46
o3-2025-04-16,system,2025-04-09 02:28:21
gpt-4o-mini-tts,system,2025-03-20 02:05:59
o1-pro,system,2025-03-18 07:49:51
o1-pro-2025-03-19,system,2025-03-18 07:45:04
gpt-4o-mini-transcribe,system,2025-03-16 04:56:36
gpt-4o-transcribe,system,2025-03-16 04:54:23
gpt-4o-mini-search-preview,system,2025-03-08 08:46:01
gpt-4o-mini-search-preview-2025-03-11,system,2025-03-08 08:40:58
gpt-4o-search-preview,system,2025-03-08 08:05:20
gpt-4o-search-preview-2025-03-11,system,2025-03-08 07:56:10
computer-use-preview-2025-03-11,system,2025-03-08 04:50:21
gpt-4o-2024-11-20,system,2025-02-12 12:39:03
o3-mini-2025-01-31,system,2025-01-28 05:36:40
o3-mini,system,2025-01-18 05:39:43
computer-use-preview,system,2024-12-20 09:47:57
gpt-4o-mini-audio-preview,system,2024-12-17 07:17:04
gpt-4o-mini-realtime-preview,system,2024-12-17 07:16:20
o1,system,2024-12-17 04:03:36
o1-2024-12-17,system,2024-12-16 14:29:36
gpt-4o-mini-audio-preview-2024-12-17,system,2024-12-14 03:52:00
gpt-4o-mini-realtime-preview-2024-12-17,system,2024-12-14 02:56:41
gpt-4o-audio-preview-2024-12-17,system,2024-12-13 05:10:39
gpt-4o-realtime-preview-2024-12-17,system,2024-12-12 04:30:30
omni-moderation-2024-09-26,system,2024-11-28 04:07:46
omni-moderation-latest,system,2024-11-16 01:47:45
gpt-4o-realtime-preview,system,2024-09-30 10:33:18
gpt-4o-audio-preview,system,2024-09-28 03:07:23
gpt-4o-audio-preview-2024-10-01,system,2024-09-27 07:17:22
gpt-4o-realtime-preview-2024-10-01,system,2024-09-24 07:49:26
o1-mini,system,2024-09-07 03:56:48
o1-mini-2024-09-12,system,2024-09-07 03:56:19
chatgpt-4o-latest,system,2024-08-13 11:12:11
gpt-4o-2024-08-06,system,2024-08-05 08:38:39
gpt-4o-mini,system,2024-07-17 08:32:21
gpt-4o-mini-2024-07-18,system,2024-07-17 08:31:57
gpt-4o-2024-05-13,system,2024-05-11 04:08:52
gpt-4o,system,2024-05-11 03:50:49
gpt-4-turbo-2024-04-09,system,2024-04-09 03:41:17
gpt-4-turbo,system,2024-04-06 08:57:21
gpt-3.5-turbo-0125,system,2024-01-24 07:19:18
gpt-4-turbo-preview,system,2024-01-24 04:22:57
gpt-4-0125-preview,system,2024-01-24 04:20:12
text-embedding-3-large,system,2024-01-23 04:53:00
text-embedding-3-small,system,2024-01-23 03:43:17
tts-1-hd-1106,system,2023-11-04 08:18:53
tts-1-1106,system,2023-11-04 08:14:01
tts-1-hd,system,2023-11-04 06:13:35
gpt-3.5-turbo-1106,system,2023-11-03 06:15:48
gpt-4-1106-preview,system,2023-11-03 05:33:26
dall-e-2,system,2023-11-01 09:22:57
dall-e-3,system,2023-11-01 05:46:29
gpt-3.5-turbo-instruct-0914,system,2023-09-08 06:34:32
gpt-3.5-turbo-instruct,system,2023-08-25 03:23:47
babbage-002,system,2023-08-22 01:16:55
davinci-002,system,2023-08-22 01:11:41
gpt-4,openai,2023-06-28 01:13:31
gpt-4-0613,openai,2023-06-13 01:54:56
gpt-3.5-turbo-16k,openai-internal,2023-05-11 07:35:02
tts-1,openai-internal,2023-04-20 06:49:11
gpt-3.5-turbo,openai,2023-03-01 03:56:42
whisper-1,openai-internal,2023-02-28 06:13:04
text-embedding-ada-002,openai-internal,2022-12-17 04:01:39
